课程名称	均分	最高分	课程代码
中西乐理及其应用	/2014-2015-1	87.74	100.00
战略财务管理	/2015-2016-1	87.72	96.00
大学化学	/2014-2015-1	87.70	97.00
工程实践与科技创新Ⅳ-D	/2015-2016-1	87.69	92.00
风景园林规划设计（1）	/2015-2016-1	87.68	93.00
生物信息学算法原理	/2014-2015-1	87.67	96.00
量子波澜：历史与概念	/2015-2016-1	87.66	95.00
英语公众演讲	/2014-2015-2	87.66	94.00
工程实践与科技创新Ⅳ-D	/2015-2016-2	87.65	97.00
美学	/2015-2016-2	87.65	95.00
管理学基础	/2015-2016-1	87.62	98.00
思想道德修养与法律基础	/2015-2016-1	87.62	98.00
数字图像处理基础	/2015-2016-1	87.61	98.00
环境科学综合实验	/2014-2015-1	87.61	95.00
模式识别导论	/2014-2015-1	87.60	96.00
自动控制原理B	/2014-2015-1	87.59	98.00
人力资源管理	/2015-2016-2	87.59	98.00
公共部门人力资源管理	/2014-2015-1	87.56	94.00
能源与可持续发展	/2014-2015-1	87.53	96.00
编译课程设计	/2015-2016-1	87.50	100.00
化工热力学	/2014-2015-1	87.50	96.00
自动化仪表	/2014-2015-1	87.49	97.50
人因工程	/2015-2016-1	87.48	98.00
大学生健康导论	/2015-2016-1	87.48	96.00
计算机视觉	/2014-2015-1	87.47	98.00
学子讲坛（1）	/2015-2016-1	87.47	95.00
领导力学习与实践	/2015-2016-1	87.46	99.00
环境监测与环境影响评价	/2015-2016-1	87.45	96.00
鲁迅与中外文化	/2015-2016-1	87.42	91.00
艺术、媒介与创造性思维	/2014-2015-2	87.41	95.00
中国近现代史纲要	/2014-2015-1	87.41	100.00
细胞生物学（B类）	/2015-2016-2	87.40	98.00
物流与供应链管理	/2015-2016-2	87.39	93.00
基础日语(上)	/2015-2016-2	87.36	100.00
植物保护学	/2015-2016-2	87.35	99.00
项目管理	/2015-2016-2	87.33	95.00
环境监测与环境影响评价	/2014-2015-1	87.33	96.00
民事诉讼法	/2014-2015-1	87.33	99.00
植物保护学	/2014-2015-1	87.32	96.00
模拟集成电路设计	/2014-2015-1	87.31	95.00
色彩（Ⅰ）	/2014-2015-1	87.31	98.00
日语精读（1）*	/2015-2016-1	87.27	99.00
管理心理学	/2015-2016-1	87.24	98.00
WTO法律文件选读	/2014-2015-2	87.21	96.00
行政法原理	/2015-2016-1	87.21	97.00
工业设计史	/2014-2015-1	87.21	98.00
英语公众演讲	/2015-2016-2	87.20	95.00
